EmpID,Name,Age,YearsAtCompany,JobSatisfaction,WorkLifeBalance,MonthlyIncome,OverTimeHours,DistanceFromHome_km,PromotionLast5Years,Attrition
EMP0054,Employee_55,25,7,Very High,Good,7908,9 hours,8.3,Yes,No
EMP0055,Employee_56,23,3,Low,Good,13627,4 hours,3.427,No,No
EMP0056,Employee_57,48,11,Low,Good,5804,6 hours,2.625,No,No
EMP0057,Employee_58,37,2,Low,Excellent,13176,4 hours,11.767,No,No
EMP0058,Employee_59,45,9,Very High,Good,6936,2 hours,19.42,No,No
EMP0059,Employee_60,53,10,Very Low,Bad,12873,9 hours,26.886,No,Yes
EMP0060,Employee_61,29,7,Very Low,Excellent,14390,7 hours,4.355,Yes,Yes
EMP0061,Employee_62,55,1,Very Low,Excellent,11366,7 hours,24.43,No,No
EMP0062,Employee_63,33,10,Low,Good,17614,8 hours,15.053,Yes,Yes
EMP0063,Employee_64,50,10,Low,Worst,9506,10 hours,21.104,Yes,No
EMP0064,Employee_65,34,12,High,Worst,11783,11 hours,5.902,No,Yes
EMP0065,Employee_66,27,2,Very High,Bad,14170,5 hours,27.85,No,No
EMP0066,Employee_67,33,11,Very High,Good,17609,1 hours,16.786,Yes,No
EMP0067,Employee_68,42,2,Low,Good,10322,2 hours,11.266,No,No
EMP0068,Employee_69,59,9,High,Excellent,15174,12 hours,22.62,No,Yes
EMP0069,Employee_70,40,10,Very Low,Excellent,19208,10 hours,9.28,No,No
EMP0070,Employee_71,35,0,Low,Good,5410,11 hours,15.954,No,No
EMP0071,Employee_72,37,5,Very High,Excellent,16636,9 hours,12.996,No,No
EMP0072,Employee_73,43,1,Very High,Good,12039,10 hours,15.046,No,No
EMP0073,Employee_74,45,0,Very High,Bad,17990,5 hours,25.697,Yes,No
EMP0074,Employee_75,44,1,Very Low,Excellent,9441,No OT,15.205,No,No
EMP0075,Employee_76,48,11,Very High,Good,11685,1 hours,5.961,Yes,No
EMP0076,Employee_77,34,5,Very Low,Excellent,16778,7 hours,1.032,No,No
EMP0077,Employee_78,20,13,Very Low,Bad,16191,10 hours,5.698,No,No
EMP0078,Employee_79,44,3,Very Low,Excellent,12732,7 hours,9.887,Yes,No
EMP0079,Employee_80,26,5,Low,Good,6956,5 hours,21.225,No,No
EMP0080,Employee_81,28,11,Very Low,Excellent,9553,2 hours,9.716,No,No
EMP0081,Employee_82,43,8,High,Excellent,5365,1 hours,14.335,No,No
EMP0082,Employee_83,20,12,Very High,Good,9668,12 hours,22.828,No,No
EMP0083,Employee_84,27,9,Low,Worst,8000,5 hours,7.177,Yes,No
EMP0084,Employee_85,43,11,Very High,Excellent,6675,No OT,9.438,No,No
EMP0085,Employee_86,30,9,Very Low,Excellent,15907,9 hours,4.926,No,No
EMP0086,Employee_87,36,7,Low,Bad,18136,5 hours,16.378,No,No
EMP0087,Employee_88,27,0,High,Worst,14155,8 hours,28.677,No,No
EMP0088,Employee_89,54,12,Very Low,Bad,15219,6 hours,11.288,No,No
EMP0089,Employee_90,54,7,Very High,Good,6247,8 hours,11.154,No,No
EMP0090,Employee_91,52,8,High,Good,7415,1 hours,3.959,No,No
EMP0091,Employee_92,24,5,Very Low,Bad,9472,10 hours,19.611,No,No
EMP0092,Employee_93,58,9,High,Excellent,7848,4 hours,2.393,No,No
EMP0093,Employee_94,47,14,Very Low,Worst,4037,8 hours,27.483,No,Yes
EMP0094,Employee_95,26,4,Low,Bad,18634,6 hours,19.407,Yes,No
EMP0095,Employee_96,28,5,Very Low,Bad,11262,8 hours,14.025,No,No
EMP0096,Employee_97,27,12,Low,Good,14066,10 hours,7.064,Yes,No
EMP0097,Employee_98,31,5,Very Low,Excellent,18554,5 hours,24.946,No,No
EMP0098,Employee_99,53,8,Very Low,Worst,10008,6 hours,7.639,No,No
EMP0099,Employee_100,52,3,Very High,Bad,18263,9 hours,3.478,No,No
EMP0100,Employee_101,42,1,High,Worst,19238,4 hours,24.758,No,No
EMP0101,Employee_102,43,10,High,Worst,8642,5 hours,8.929,No,Yes
EMP0102,Employee_103,56,10,High,Bad,19489,No OT,21.843,No,No
EMP0103,Employee_104,54,8,Very Low,Worst,17531,No OT,23.837,No,No
EMP0104,Employee_105,59,1,Very Low,Good,13384,1 hours,10.173,No,No
EMP0105,Employee_106,41,9,Very Low,Excellent,19336,10 hours,12.415,No,No
EMP0106,Employee_107,46,8,Low,Excellent,16661,3 hours,9.418,No,No
EMP0107,Employee_108,54,1,Low,Excellent,14687,10 hours,18.65,No,No
EMP0108,Employee_109,20,11,Very High,Good,16404,8 hours,3.057,No,No
EMP0109,Employee_110,54,7,Very Low,Good,7355,6 hours,25.38,No,No
EMP0110,Employee_111,56,8,High,Good,3933,5 hours,14.703,No,No
EMP0111,Employee_112,33,11,High,Excellent,11766,No OT,15.383,No,No
EMP0112,Employee_113,22,9,Very High,Worst,8906,4 hours,14.935,No,Yes
EMP0113,Employee_114,20,8,High,Good,15572,10 hours,11.443,No,Yes
EMP0114,Employee_115,24,9,Very High,Bad,15279,11 hours,3.941,No,Yes
EMP0115,Employee_116,45,8,Very Low,Good,13723,12 hours,1.156,No,No
EMP0116,Employee_117,33,1,High,Bad,13611,3 hours,24.382,No,No
EMP0117,Employee_118,58,3,Very Low,Excellent,11261,4 hours,27.649,No,No
EMP0118,Employee_119,46,6,Low,Bad,7474,10 hours,13.255,No,No
EMP0119,Employee_120,28,11,High,Good,19638,8 hours,18.144,Yes,No
EMP0120,Employee_121,34,1,Low,Good,7787,11 hours,9.965,No,No
EMP0121,Employee_122,34,0,High,Worst,16575,2 hours,23.791,No,No
EMP0122,Employee_123,45,2,Very Low,Excellent,10862,3 hours,27.128,Yes,No
EMP0123,Employee_124,32,11,Very High,Bad,13956,7 hours,24.115,No,No
EMP0124,Employee_125,51,3,Very Low,Excellent,13663,2 hours,18.341,No,No
EMP0125,Employee_126,58,7,Very Low,Good,19120,12 hours,15.805,Yes,No
EMP0126,Employee_127,51,5,Very Low,Worst,6742,2 hours,17.637,Yes,No
EMP0127,Employee_128,23,10,High,Good,5035,12 hours,25.269,No,No
EMP0128,Employee_129,49,1,Very High,Good,4967,8 hours,18.953,No,No
EMP0129,Employee_130,56,14,Low,Good,4852,4 hours,28.794,No,No
EMP0130,Employee_131,42,8,Very Low,Bad,13547,9 hours,24.877,No,Yes
EMP0131,Employee_132,58,13,High,Good,9618,No OT,8.505,Yes,No
EMP0132,Employee_133,34,1,Low,Excellent,16859,6 hours,24.267,No,No
EMP0133,Employee_134,48,12,Very Low,Excellent,11303,6 hours,13.405,Yes,No
EMP0134,Employee_135,55,14,Low,Worst,14350,5 hours,28.812,No,Yes
EMP0135,Employee_136,32,11,Very Low,Excellent,19566,5 hours,13.837,No,No
EMP0136,Employee_137,51,4,Low,Good,3164,2 hours,22.39,No,No
EMP0137,Employee_138,26,11,Low,Good,9958,2 hours,9.999,No,No
EMP0138,Employee_139,41,3,Very High,Excellent,5137,9 hours,23.152,No,Yes
EMP0139,Employee_140,47,12,Very High,Worst,13215,10 hours,22.3,Yes,No
EMP0140,Employee_141,21,6,Very Low,Worst,19838,8 hours,10.973,No,No
EMP0141,Employee_142,25,7,High,Excellent,19925,No OT,26.797,No,No
EMP0142,Employee_143,47,4,Very High,Bad,9033,6 hours,24.925,Yes,No
EMP0143,Employee_144,47,9,Low,Bad,5665,12 hours,12.855,Yes,No
EMP0144,Employee_145,39,13,Very High,Bad,16129,11 hours,24.091,Yes,No
EMP0145,Employee_146,49,13,Very High,Bad,15125,10 hours,20.584,No,Yes
EMP0146,Employee_147,30,4,Very Low,Excellent,9189,9 hours,7.557,No,No
EMP0147,Employee_148,47,1,Very High,Worst,16708,6 hours,24.931,No,No
EMP0148,Employee_149,44,7,Very High,Good,8095,7 hours,10.071,No,No
EMP0149,Employee_150,58,13,Low,Good,17409,5 hours,6.088,Yes,No
EMP0150,Employee_151,52,1,Very High,Excellent,10583,7 hours,17.384,No,No
EMP0151,Employee_152,20,9,Low,Good,4637,No OT,17.55,No,No
EMP0152,Employee_153,46,11,Very High,Bad,17670,No OT,3.063,No,No
EMP0153,Employee_154,32,5,Very High,Worst,8966,8 hours,28.28,Yes,No
EMP0154,Employee_155,22,7,High,Excellent,7670,11 hours,9.303,Yes,Yes
EMP0155,Employee_156,58,5,Very High,Worst,8203,3 hours,12.631,No,Yes
EMP0156,Employee_157,25,3,Low,Excellent,11669,2 hours,2.125,No,No
EMP0157,Employee_158,27,12,Low,Excellent,17968,5 hours,3.641,No,No
EMP0158,Employee_159,46,3,Very Low,Excellent,5366,9 hours,18.813,No,Yes
EMP0159,Employee_160,28,5,Very Low,Excellent,3366,11 hours,23.485,No,No
EMP0160,Employee_161,56,13,High,Worst,18647,12 hours,11.235,No,No
EMP0161,Employee_162,52,14,Low,Good,12907,11 hours,13.794,No,No
EMP0162,Employee_163,43,12,Low,Excellent,9606,8 hours,19.018,No,No
EMP0163,Employee_164,34,3,Low,Bad,3012,9 hours,9.862,No,Yes
EMP0164,Employee_165,51,7,High,Excellent,5317,10 hours,4.111,Yes,Yes
EMP0165,Employee_166,51,8,Low,Worst,18429,3 hours,2.69,Yes,No
EMP0166,Employee_167,43,0,Very Low,Excellent,10485,8 hours,25.099,Yes,No
EMP0167,Employee_168,31,12,High,Bad,19759,4 hours,16.74,Yes,No
EMP0168,Employee_169,58,3,Very Low,Worst,3256,12 hours,16.094,No,No
EMP0169,Employee_170,21,3,Very Low,Excellent,19833,6 hours,16.875,No,No
EMP0170,Employee_171,22,1,High,Bad,18903,2 hours,24.024,No,Yes
EMP0171,Employee_172,56,5,Very High,Worst,6212,2 hours,21.341,No,No
EMP0172,Employee_173,36,2,Very High,Excellent,9175,11 hours,10.156,No,No
EMP0173,Employee_174,21,6,Very Low,Bad,16571,2 hours,17.664,No,No
EMP0174,Employee_175,21,12,Very High,Worst,19087,7 hours,5.446,No,Yes
EMP0175,Employee_176,47,10,Low,Excellent,10446,5 hours,11.158,No,No
EMP0176,Employee_177,42,10,High,Worst,17877,8 hours,3.808,No,No
EMP0177,Employee_178,56,4,Very Low,Bad,15943,8 hours,6.402,No,No
EMP0178,Employee_179,51,3,Low,Excellent,13306,7 hours,2.964,No,No
EMP0179,Employee_180,52,4,Very High,Excellent,7016,No OT,28.966,No,No
EMP0180,Employee_181,20,7,Low,Excellent,8912,5 hours,18.206,No,Yes
EMP0181,Employee_182,38,2,Very High,Bad,3442,3 hours,10.629,No,No
EMP0182,Employee_183,21,13,Very Low,Good,5944,3 hours,3.061,No,No
EMP0183,Employee_184,45,6,Low,Excellent,6936,2 hours,22.559,No,Yes
EMP0184,Employee_185,51,14,High,Bad,3398,11 hours,4.865,No,Yes
EMP0185,Employee_186,25,13,Very Low,Worst,18696,8 hours,5.294,No,No
EMP0186,Employee_187,51,5,Low,Worst,5995,1 hours,15.171,Yes,No
EMP0187,Employee_188,23,11,Low,Bad,9329,No OT,13.965,No,Yes
EMP0188,Employee_189,30,0,Very High,Good,5216,9 hours,13.228,No,No
EMP0189,Employee_190,36,12,Very Low,Bad,14523,2 hours,16.651,No,No
EMP0190,Employee_191,57,6,Very Low,Worst,5568,12 hours,27.04,No,No
EMP0191,Employee_192,43,13,Very Low,Worst,3160,3 hours,17.461,Yes,No
EMP0192,Employee_193,24,12,Very Low,Excellent,18648,3 hours,3.159,No,Yes
EMP0193,Employee_194,53,6,Very High,Good,11067,5 hours,13.822,No,No
EMP0194,Employee_195,25,13,High,Bad,6904,No OT,4.187,No,No
EMP0195,Employee_196,41,14,Very Low,Worst,6573,No OT,26.741,No,No
EMP0196,Employee_197,30,11,Very High,Worst,4825,1 hours,8.135,No,Yes
EMP0197,Employee_198,35,0,High,Worst,16786,3 hours,14.508,No,Yes
EMP0198,Employee_199,52,8,High,Bad,12815,6 hours,1.789,No,Yes
EMP0199,Employee_200,28,5,Very High,Bad,16794,5 hours,18.947,No,No
EMP0200,Employee_201,25,14,Very Low,Good,4176,10 hours,2.322,No,No
EMP0201,Employee_202,35,11,High,Excellent,10820,8 hours,14.387,No,Yes
EMP0202,Employee_203,48,1,Very Low,Excellent,19514,6 hours,7.673,No,Yes
EMP0203,Employee_204,22,4,Very Low,Excellent,4499,11 hours,18.886,No,Yes
EMP0204,Employee_205,39,12,Low,Worst,10626,4 hours,8.116,Yes,No
EMP0205,Employee_206,55,10,Very Low,Excellent,19137,5 hours,27.067,No,No
EMP0206,Employee_207,38,3,Low,Worst,6708,9 hours,19.043,No,No
EMP0207,Employee_208,45,6,High,Good,4769,8 hours,10.507,No,No
EMP0208,Employee_209,22,7,Very High,Worst,12510,No OT,4.062,No,No
EMP0209,Employee_210,38,10,Low,Good,17226,10 hours,25.7,No,No
EMP0210,Employee_211,39,13,Very High,Good,18634,8 hours,20.446,No,No
EMP0211,Employee_212,51,14,High,Excellent,9731,5 hours,26.094,No,Yes
EMP0212,Employee_213,26,10,Very Low,Excellent,13965,11 hours,19.454,Yes,No
EMP0213,Employee_214,52,0,High,Worst,3375,3 hours,21.641,No,No
EMP0214,Employee_215,59,4,Very High,Bad,18517,11 hours,11.868,No,No
EMP0215,Employee_216,58,14,High,Excellent,9218,4 hours,3.553,No,Yes
EMP0216,Employee_217,37,2,Very Low,Excellent,11495,12 hours,29.511,No,No
EMP0217,Employee_218,59,0,High,Bad,4085,No OT,18.428,No,Yes
EMP0218,Employee_219,20,11,Very Low,Bad,16073,6 hours,10.979,No,No
EMP0219,Employee_220,30,2,Low,Excellent,14371,12 hours,6.957,No,No
EMP0220,Employee_221,47,13,Very High,Bad,14226,12 hours,12.727,No,No
EMP0221,Employee_222,44,5,Very Low,Worst,13046,7 hours,5.578,No,Yes
EMP0222,Employee_223,42,13,Very Low,Good,19651,10 hours,6.621,No,No
EMP0223,Employee_224,50,6,High,Good,14041,4 hours,2.966,No,No
EMP0224,Employee_225,49,7,Low,Excellent,7349,1 hours,11.548,Yes,No
EMP0225,Employee_226,54,12,Very Low,Excellent,7965,7 hours,22.353,Yes,No
EMP0226,Employee_227,26,10,Low,Worst,16492,9 hours,14.864,No,Yes
EMP0227,Employee_228,35,3,Low,Bad,16336,6 hours,19.634,Yes,No
EMP0228,Employee_229,45,2,High,Excellent,15684,9 hours,12.679,No,No
EMP0229,Employee_230,21,4,Very Low,Good,9654,8 hours,15.975,No,No
EMP0230,Employee_231,20,8,High,Worst,10342,3 hours,25.717,No,No
EMP0231,Employee_232,31,12,Very High,Worst,5358,10 hours,15.167,No,No
EMP0232,Employee_233,24,5,Very High,Bad,9360,8 hours,26.579,No,No
EMP0233,Employee_234,56,14,Very Low,Excellent,6743,3 hours,27.73,No,No
EMP0234,Employee_235,51,8,Low,Excellent,10159,2 hours,3.014,No,No
EMP0235,Employee_236,28,14,Very Low,Worst,3518,10 hours,5.624,No,Yes
EMP0236,Employee_237,54,5,Very Low,Good,19652,2 hours,20.992,No,No
EMP0237,Employee_238,38,1,Very High,Excellent,15925,9 hours,24.103,Yes,No
EMP0238,Employee_239,35,12,Very High,Good,17810,1 hours,26.544,Yes,No
EMP0239,Employee_240,22,4,Low,Worst,19239,9 hours,21.309,Yes,No
EMP0240,Employee_241,39,11,Low,Excellent,8475,2 hours,29.534,Yes,No
EMP0241,Employee_242,43,10,Very Low,Good,7185,7 hours,6.868,No,No
EMP0242,Employee_243,52,8,High,Worst,8161,10 hours,28.311,No,Yes
EMP0243,Employee_244,43,7,Very Low,Good,12580,7 hours,15.626,No,Yes
EMP0244,Employee_245,30,6,Low,Excellent,12886,1 hours,1.804,Yes,Yes
EMP0245,Employee_246,27,0,High,Bad,14465,10 hours,18.718,No,No
EMP0246,Employee_247,55,3,Very High,Good,14221,1 hours,29.56,No,No
EMP0247,Employee_248,57,11,Low,Bad,5335,1 hours,1.667,No,Yes
EMP0248,Employee_249,59,6,Low,Excellent,6674,9 hours,1.384,No,No
EMP0249,Employee_250,39,10,High,Bad,7576,6 hours,12.316,No,No
EMP0250,Employee_251,54,6,Low,Worst,17972,5 hours,27.184,No,No
EMP0251,Employee_252,44,14,Low,Bad,3500,11 hours,20.638,No,No
EMP0252,Employee_253,54,5,Low,Good,11083,10 hours,4.44,No,No
EMP0253,Employee_254,44,7,Low,Good,11294,No OT,20.132,Yes,Yes
EMP0254,Employee_255,48,10,Low,Bad,18720,1 hours,17.396,No,No
EMP0255,Employee_256,37,12,Low,Worst,8543,No OT,8.726,No,No
EMP0256,Employee_257,37,5,Low,Excellent,6276,11 hours,12.199,Yes,No
EMP0257,Employee_258,21,9,Low,Bad,9613,10 hours,27.783,No,No
EMP0258,Employee_259,54,2,Very High,Good,14729,6 hours,6.403,No,No
EMP0259,Employee_260,35,3,Low,Good,4327,5 hours,24.838,No,No
EMP0260,Employee_261,55,13,Very High,Bad,10772,1 hours,7.151,No,No
EMP0261,Employee_262,52,2,Very High,Bad,13666,1 hours,13.359,No,No
EMP0262,Employee_263,23,0,Very Low,Bad,19289,1 hours,16.227,No,No
EMP0263,Employee_264,52,14,Very Low,Excellent,8769,7 hours,27.721,No,No
EMP0264,Employee_265,33,9,Very High,Good,16663,6 hours,23.614,No,No
EMP0265,Employee_266,40,4,Very High,Good,8918,No OT,11.057,No,No
EMP0266,Employee_267,39,14,Low,Good,7555,3 hours,1.1,No,No
EMP0267,Employee_268,27,0,Very Low,Excellent,5394,10 hours,29.655,No,No
EMP0268,Employee_269,26,0,High,Worst,3666,3 hours,29.952,No,No
EMP0269,Employee_270,22,1,Very Low,Good,15355,6 hours,5.978,No,No
EMP0270,Employee_271,36,12,Very High,Good,5234,1 hours,10.504,No,No
EMP0271,Employee_272,52,3,Very High,Worst,9335,3 hours,11.988,Yes,No
EMP0272,Employee_273,31,5,Low,Excellent,14503,No OT,15.531,No,No
EMP0273,Employee_274,41,7,Low,Worst,9359,12 hours,7.534,No,No
EMP0274,Employee_275,41,12,Very Low,Worst,19560,12 hours,22.088,No,Yes
EMP0275,Employee_276,49,2,Low,Worst,16876,10 hours,17.833,No,No
EMP0276,Employee_277,57,0,High,Worst,5928,10 hours,12.631,Yes,No
EMP0277,Employee_278,57,2,High,Excellent,10617,3 hours,12.693,No,No
EMP0278,Employee_279,27,11,Low,Excellent,10614,10 hours,4.167,No,No
EMP0279,Employee_280,46,2,High,Worst,7274,No OT,6.38,Yes,No
EMP0280,Employee_281,46,4,High,Bad,7971,1 hours,14.823,No,No
EMP0281,Employee_282,53,10,Very Low,Bad,11389,1 hours,25.696,No,No
EMP0282,Employee_283,40,11,High,Bad,5504,11 hours,12.629,No,No
EMP0283,Employee_284,49,11,Very High,Bad,9006,9 hours,4.856,No,No
EMP0284,Employee_285,52,3,Very High,Good,10943,11 hours,2.075,No,No
EMP0285,Employee_286,47,12,Very Low,Excellent,3923,2 hours,16.755,No,No
EMP0286,Employee_287,52,3,Low,Excellent,19854,7 hours,21.797,No,No
EMP0287,Employee_288,24,8,Very Low,Worst,13246,10 hours,11.914,No,No
EMP0288,Employee_289,38,6,Low,Good,15475,5 hours,1.701,No,No
EMP0289,Employee_290,23,3,Low,Worst,6086,5 hours,4.348,No,No
EMP0290,Employee_291,54,2,Low,Worst,17860,8 hours,29.244,No,No
EMP0291,Employee_292,36,5,Low,Excellent,10407,7 hours,9.185,No,Yes
EMP0292,Employee_293,47,2,Low,Good,3774,1 hours,28.841,No,No
EMP0293,Employee_294,49,5,Very Low,Bad,11709,5 hours,7.836,No,No
EMP0294,Employee_295,48,10,Low,Excellent,19311,No OT,14.304,No,Yes
EMP0295,Employee_296,25,12,High,Good,4343,12 hours,25.596,No,Yes
EMP0296,Employee_297,54,10,High,Good,13161,8 hours,11.638,No,Yes
EMP0297,Employee_298,56,12,Low,Excellent,14419,3 hours,23.218,No,No
EMP0298,Employee_299,43,12,High,Excellent,10797,3 hours,3.249,Yes,Yes
EMP0299,Employee_300,48,11,Very High,Worst,3934,8 hours,11.705,No,No
EMP0300,Employee_301,50,8,Very Low,Worst,4986,2 hours,20.606,No,No
EMP0301,Employee_302,54,5,Very Low,Worst,17016,4 hours,22.375,No,Yes
EMP0302,Employee_303,52,11,Low,Bad,8465,No OT,10.374,No,Yes
EMP0303,Employee_304,40,3,Low,Excellent,12966,5 hours,27.933,No,No
EMP0304,Employee_305,51,14,Very High,Good,18721,2 hours,9.118,No,Yes
EMP0305,Employee_306,42,4,Low,Excellent,4505,No OT,3.551,Yes,No
EMP0306,Employee_307,52,12,High,Good,8363,9 hours,27.649,No,No
EMP0307,Employee_308,22,5,Very High,Bad,18940,5 hours,25.641,No,No
EMP0308,Employee_309,37,10,High,Excellent,13846,11 hours,25.486,No,Yes
EMP0309,Employee_310,44,2,Very Low,Good,4010,9 hours,13.55,Yes,No
EMP0310,Employee_311,50,7,High,Good,17924,1 hours,26.047,Yes,No
EMP0311,Employee_312,22,3,Very Low,Worst,16482,7 hours,3.214,No,No
EMP0312,Employee_313,59,7,High,Bad,12369,12 hours,28.801,No,Yes
EMP0313,Employee_314,43,9,Very Low,Excellent,6857,10 hours,9.534,No,No
EMP0314,Employee_315,51,9,Low,Worst,12864,11 hours,18.101,No,No
EMP0315,Employee_316,41,2,High,Bad,13120,1 hours,3.46,No,No
EMP0316,Employee_317,42,9,Very Low,Worst,14370,3 hours,12.928,No,No
EMP0317,Employee_318,21,6,High,Excellent,5553,2 hours,4.255,No,No
EMP0318,Employee_319,46,10,Very High,Good,18489,8 hours,23.174,No,No
EMP0319,Employee_320,21,12,Low,Excellent,7389,1 hours,28.841,No,No
EMP0320,Employee_321,45,11,Very Low,Bad,19935,2 hours,6.334,No,No
EMP0321,Employee_322,36,8,Very High,Excellent,14089,6 hours,13.281,No,No
EMP0322,Employee_323,59,3,High,Bad,12231,3 hours,7.83,No,No
EMP0323,Employee_324,52,7,Very High,Worst,6051,5 hours,8.754,No,Yes
EMP0324,Employee_325,28,2,High,Bad,8322,2 hours,7.94,No,Yes
EMP0325,Employee_326,58,6,Low,Good,14789,No OT,11.722,No,No
EMP0326,Employee_327,48,2,Very High,Good,5555,10 hours,4.632,No,No
EMP0327,Employee_328,45,11,Low,Good,15767,5 hours,26.631,No,Yes
EMP0328,Employee_329,54,14,Very Low,Worst,3458,3 hours,17.029,Yes,No
EMP0329,Employee_330,44,14,High,Bad,18701,1 hours,1.014,Yes,No
EMP0330,Employee_331,43,6,High,Worst,19066,6 hours,12.581,No,No
EMP0331,Employee_332,32,13,Low,Excellent,7721,9 hours,15.157,No,No
EMP0332,Employee_333,26,10,Low,Excellent,15446,12 hours,12.506,No,Yes
EMP0333,Employee_334,55,9,Very Low,Excellent,9304,11 hours,9.208,No,No
EMP0334,Employee_335,39,9,Very High,Excellent,16565,12 hours,28.157,No,Yes
EMP0335,Employee_336,20,10,High,Good,13199,4 hours,10.971,No,Yes
EMP0336,Employee_337,27,10,High,Bad,4920,5 hours,19.333,No,No
EMP0337,Employee_338,35,5,Very Low,Good,16227,5 hours,9.272,Yes,No
EMP0338,Employee_339,33,1,Very Low,Bad,10694,8 hours,24.183,Yes,No
EMP0339,Employee_340,31,10,Low,Bad,9298,11 hours,23.963,Yes,No
EMP0340,Employee_341,42,2,Low,Worst,9629,1 hours,4.079,No,No
EMP0341,Employee_342,34,5,Very High,Excellent,15719,11 hours,9.127,Yes,No
